Date,6758.T_Close
2015-06-18,3679.0
2015-06-19,3657.0
2015-06-22,3732.0
2015-06-23,3827.0
2015-06-24,3820.0
2015-06-25,3880.0
2015-06-26,3878.5
2015-06-29,3773.0
2015-06-30,3461.5
2015-07-01,3472.0
2015-07-02,3514.5
2015-07-03,3503.5
2015-07-06,3422.5
2015-07-07,3451.5
2015-07-08,3322.0
2015-07-09,3398.5
2015-07-10,3420.0
2015-07-13,3526.5
2015-07-14,3485.0
2015-07-15,3452.5
2015-07-16,3475.0
2015-07-17,3515.0
2015-07-21,3579.0
2015-07-22,3530.5
2015-07-23,3660.5
2015-07-24,3694.5
2015-07-27,3632.0
2015-07-28,3600.0
2015-07-29,3660.0
2015-07-30,3585.0
2015-07-31,3533.0
2015-08-03,3466.0
2015-08-04,3418.0
2015-08-05,3355.0
2015-08-06,3338.0
2015-08-07,3348.0
2015-08-10,3358.0
2015-08-11,3454.5
2015-08-12,3343.0
2015-08-13,3366.5
2015-08-14,3366.5
2015-08-17,3323.0
2015-08-18,3366.0
2015-08-19,3331.5
2015-08-20,3230.0
2015-08-21,3090.0
2015-08-24,2843.5
2015-08-25,2834.5
2015-08-26,2963.0
2015-08-27,3051.5
2015-08-28,3169.5
2015-08-31,3162.0
2015-09-01,3051.0
2015-09-02,3020.0
2015-09-03,3026.5
2015-09-04,2966.0
2015-09-07,2961.0
2015-09-08,2867.5
2015-09-09,3113.5
2015-09-10,3133.0
2015-09-11,3179.5
2015-09-14,3116.5
2015-09-15,3060.0
2015-09-16,3096.0
2015-09-17,3224.5
2015-09-18,3115.0
2015-09-24,3030.0
2015-09-25,3106.0
2015-09-28,2995.5
2015-09-29,2753.5
2015-09-30,2898.5
2015-10-01,2996.0
2015-10-02,3094.0
2015-10-05,3142.0
2015-10-06,3156.0
2015-10-07,3205.0
2015-10-08,3153.0
2015-10-09,3211.0
2015-10-13,3204.0
2015-10-14,3129.0
2015-10-15,3181.0
2015-10-16,3250.0
2015-10-19,3266.0
2015-10-20,3270.0
2015-10-21,3414.0
2015-10-22,3400.0
2015-10-23,3420.0
2015-10-26,3507.0
2015-10-27,3424.0
2015-10-28,3435.0
2015-10-29,3466.0
2015-10-30,3480.0
2015-11-02,3433.0
2015-11-04,3437.0
2015-11-05,3440.0
2015-11-06,3404.0
2015-11-09,3478.0
2015-11-10,3463.0
2015-11-11,3497.0
2015-11-12,3478.0
2015-11-13,3387.0
2015-11-16,3319.0
2015-11-17,3280.0
2015-11-18,3286.0
2015-11-19,3297.0
2015-11-20,3285.0
2015-11-24,3307.0
2015-11-25,3245.0
2015-11-26,3240.0
2015-11-27,3264.0
2015-11-30,3177.0
2015-12-01,3227.0
2015-12-02,3168.0
2015-12-03,3167.0
2015-12-04,3091.0
2015-12-07,3129.0
2015-12-08,3078.0
2015-12-09,3027.0
